artists,title,link
jhove,Been Thinking,https://lofigirl.com/wp-content/uploads/2022/10/Been-Thinking.zip
Softy  Otis  Lucid Keys,Before It Snows,https://lofigirl.com/wp-content/uploads/2022/10/Softy-Before-it-snows.zip
hevi,"Before It’s Late, Pt. 2",https://lofigirl.com/wp-content/uploads/2022/11/MP3-Hevi-Before-Its-Late-Pt.-2.zip
hevi,Before It’s Late,https://lofigirl.com/wp-content/uploads/2022/11/before-its-late.zip
Dillan Witherow/juniorodeo,Before Sunrise,https://lofigirl.com/wp-content/uploads/2022/11/Before-Sunrise.zip
GERO - Gerardo Millan,Before the stars ✨,https://lofigirl.com/wp-content/uploads/2024/01/Before-the-stars.zip
jhove,Before You Go,https://lofigirl.com/wp-content/uploads/2022/10/Before-You-Go.zip
Aimless  Dillan Witherow/juniorodeo  iamalex,Beginnings,https://lofigirl.com/wp-content/uploads/2022/11/Beginnings.zip
Softy  Laffey,Belonging,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Laffey-x-Softy-Belonging.zip
Lofi Girl,Best Of 2023,https://lofigirl.com/wp-content/uploads/2024/01/Best-of-2023.zip
Sweet Medicine  Mujo,Better Days,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Mujo-x-Sweet-Medicine-Better-Days.zip
marsquake  Satyr,Better Together,https://lofigirl.com/wp-content/uploads/2024/01/Better-Together.zip
No spirit,Between Worlds,https://lofigirl.com/wp-content/uploads/2022/10/No-Spirit-Between-Worlds.zip
steezy prime,Beyond the Pines,https://lofigirl.com/wp-content/uploads/2022/11/beyond-the-pines.zip
Le Metroid,Black Hole,https://lofigirl.com/wp-content/uploads/2023/11/Black-Hole.zip
kainbeats,Blindsighted,https://lofigirl.com/wp-content/uploads/2022/11/MP3-kainbeats-blindsighted.zip
Lofi Records,Blissful Dreams,https://lofigirl.com/wp-content/uploads/2023/05/Blissful-Dreams.zip
dr niar  ENRA,Blue Hour,https://lofigirl.com/wp-content/uploads/2022/11/MP3-ENRA-x-dr.-niar-Blue-Hour.zip
Lucie Cravero  HoKø,Blue Note,https://lofigirl.com/wp-content/uploads/2023/10/Blue-note.zip
Globuldub,Blue Woods,https://lofigirl.com/wp-content/uploads/2022/11/Blue-Woods.zip
Loafy Building,Butterflies,https://lofigirl.com/wp-content/uploads/2022/11/Loafy-Building-Butterflies.zip
xander,"Cabin Fever, Pt. 2",https://lofigirl.com/wp-content/uploads/2022/10/MP3-xander-Cabin-Fever-Pt.2.zip
xander,Cabin Fever Pt.3,https://lofigirl.com/wp-content/uploads/2023/01/Cabin-fever-pt3.zip
xander,Cabin Fever,https://lofigirl.com/wp-content/uploads/2022/11/Cabin-Fever.zip
Living Room,Calm Land,https://lofigirl.com/wp-content/uploads/2023/04/Calm-Land.zip
Sleepermane  ENRA,Calm Lands,https://lofigirl.com/wp-content/uploads/2022/10/Calm-Lands.zip
Glimlip  Louk,Can We Talk,https://lofigirl.com/wp-content/uploads/2022/11/Can-We-Talk.zip
Tibeauthetraveler,Cascades,https://lofigirl.com/wp-content/uploads/2022/10/Tibeauthetraveler-Cascades.zip
Refeeld  Project AER,Chance Encounter,https://lofigirl.com/wp-content/uploads/2022/10/Chance-Encounter.zip
Mondo Loops  Bcalm,Changing Times,https://lofigirl.com/wp-content/uploads/2023/01/Changing-Times.zip
Allem Iversom/Harris Cole  dontcry,Chapter Two,https://lofigirl.com/wp-content/uploads/2023/07/Chapter-two.zip
Leavv/Ivylake,Cloud Shapes,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Leavv-Cloud-Shapes.zip
enluv,Cloud Studies,https://lofigirl.com/wp-content/uploads/2022/11/Cloud-Studies.zip
BluntOne,Cloud Surfing,https://lofigirl.com/wp-content/uploads/2022/10/Cloud-Surfing.zip
HM Surf,Cocobolo,https://lofigirl.com/wp-content/uploads/2022/10/Cocobolo.zip
Nothingtosay,Cold Thoughts,https://lofigirl.com/wp-content/uploads/2022/10/Nothingtosay-Cold-Thoughts.zip
Fatb,Conscious Ego,https://lofigirl.com/wp-content/uploads/2022/10/conscious-ego-1.zip
dryhope/Mavine,Contrasts,https://lofigirl.com/wp-content/uploads/2022/10/Contrasts.zip
Lofi Records,Cozy Winter,https://lofigirl.com/wp-content/uploads/2022/11/Cozy-Winter.zip
Yasumu/Plant Guy,Creating Memories,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Yasumu-Creating-Memories.zip
Thaehan,CREEPSHOW,https://lofigirl.com/wp-content/uploads/2023/11/CREEPSHOW.zip
xander,Daydreaming,https://lofigirl.com/wp-content/uploads/2022/11/Daydreaming.zip
M e a d o w,Days Of Tomorrow,https://lofigirl.com/wp-content/uploads/2022/11/Days-of-Tomorrow.zip
Peak Twilight,Departure,https://lofigirl.com/wp-content/uploads/2022/11/Departure.zip
Emil Rottmayer,Descend,https://lofigirl.com/wp-content/uploads/2023/06/Descend.zip
gCoope,Desired Views,https://lofigirl.com/wp-content/uploads/2023/06/Desired-views.zip
Akīn  Living Room,Directions,https://lofigirl.com/wp-content/uploads/2022/11/Akin-x-Living-Room-Directions.zip
amies,Discoveries,https://lofigirl.com/wp-content/uploads/2022/11/amies-Discoveries.zip
