artists,title,link
Mindeliq  Neele Harder,New Horizons,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Mindeliq-x-Neele-Harder-New-Horizons.zip
DLJ/Blumen,Night Emotions,https://lofigirl.com/wp-content/uploads/2022/10/Night-Emotions.zip
S N U G   Nuver,Nightfall,https://lofigirl.com/wp-content/uploads/2022/11/Nightfall.zip
Late Night Tones  Pierson Booth,Nights Like This,https://lofigirl.com/wp-content/uploads/2023/11/Nights-Like-This.zip
stream error  Lenny Loops,Noctilucent,https://lofigirl.com/wp-content/uploads/2023/02/Noctilucent.zip
cxlt.  amies,Nocturne,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Amies-x-cxlt.-Nocturne.zip
Sleepermane  Casiio,Nomads,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Casiio-x-Sleepermane-Nomads.zip
WYS,North Pole,https://lofigirl.com/wp-content/uploads/2022/10/North-Pole.zip
Sweet Medicine  Mujo,Nostalgia,https://lofigirl.com/wp-content/uploads/2022/10/Nostalgia.zip
swink,Notes From Yesterday,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Swink-Notes-form-Yesterday.zip
amies,Oblivion,https://lofigirl.com/wp-content/uploads/2022/11/Oblivion.zip
dontcry  nokiaa,Odyssey,https://lofigirl.com/wp-content/uploads/2022/10/Odyssey.zip
bert,offline,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Bert-offline.zip
slowburn,Old Feelings,https://lofigirl.com/wp-content/uploads/2024/01/Old-Feelings.zip
less.people,One Day It’s Over,https://lofigirl.com/wp-content/uploads/2022/10/One-day-its-over.zip
Another Silent Weekend  blurred figures,one particular moment,https://lofigirl.com/wp-content/uploads/2022/11/one-particular-moment.zip
L'Outlander,One Way Ticket,https://lofigirl.com/wp-content/uploads/2022/11/MP3-loutlander-One-Way-Ticket.zip
less.people,Online Mall Music,https://lofigirl.com/wp-content/uploads/2022/10/Online-Mall-Music.zip
ornithology,Ornithology,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Ornithology-Ornithology.zip
Laffey,Out of Orbit,https://lofigirl.com/wp-content/uploads/2023/02/Out-of-Orbit.zip
epektase  j'san,outer space,https://lofigirl.com/wp-content/uploads/2022/11/outer-space.zip
Lucid Green  Softy,Overnight,https://lofigirl.com/wp-content/uploads/2022/10/MP3-softy-x-lucid-green-overnight.zip
seeyouthere  dontcry,Palette,https://lofigirl.com/wp-content/uploads/2023/10/palette.zip
Sleepermane  Casiio,Particles,https://lofigirl.com/wp-content/uploads/2022/11/Particles.zip
dontcry  Casiio,Passing By,https://lofigirl.com/wp-content/uploads/2022/11/Casiio-x-DontCry-Passing-By.zip
kainbeats,Path to Shing,https://lofigirl.com/wp-content/uploads/2023/11/Path-to-Shing.zip
Phlocalyst/Drxnk  Myríad,Patterns,https://lofigirl.com/wp-content/uploads/2023/07/Patterns.zip
Krynoze,Pawmises,https://lofigirl.com/wp-content/uploads/2022/10/Krynoze-Pawmises.zip
Kurt Stewart/Kayba  Lomme,Pegan Hill,https://lofigirl.com/wp-content/uploads/2022/11/Pegan-Hill.zip
goosetaf,Perpetual,https://lofigirl.com/wp-content/uploads/2022/10/Perpetual.zip
tender spring  Chris Mazuera/SLo Loris,Perspective,https://lofigirl.com/wp-content/uploads/2022/10/Perspective.zip
dontcry  nokiaa,Perspectives,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Dontcry-x-Nokiaa-Perspectives.zip
Casiio  Elijah Lee,Phantasm,https://lofigirl.com/wp-content/uploads/2023/09/Phantasm.zip
DaniSogen,Place of Purity,https://lofigirl.com/wp-content/uploads/2023/04/Place-of-Purity.zip
Lenny Loops,Places,https://lofigirl.com/wp-content/uploads/2023/01/Places.zip
Protocols,Planetarium 🪐,https://lofigirl.com/wp-content/uploads/2024/01/Planetarium.zip
Ambulo,Polar,https://lofigirl.com/wp-content/uploads/2022/11/Polar.zip
stream error,polaris,https://lofigirl.com/wp-content/uploads/2022/10/stream_error-polaris.zip
slowburn,Poles Apart 🌙,https://lofigirl.com/wp-content/uploads/2024/01/Poles-Apart.zip
HM Surf,Pool Days,https://lofigirl.com/wp-content/uploads/2022/10/Pool-Days.zip
Celestial Alignment,Precious Moments,https://lofigirl.com/wp-content/uploads/2022/11/Precious-Moments.zip
S N U G,Purple Skies,https://lofigirl.com/wp-content/uploads/2022/11/Purple-Skies.zip
So.Lo  Goson,QuietPath,https://lofigirl.com/wp-content/uploads/2022/11/So.Lo-x-Goson-QuietPath.zip
S N U G,Quietude,https://lofigirl.com/wp-content/uploads/2022/11/MP3-S-N-U-G-Quietude.zip
TABAL,Rainy Days,https://lofigirl.com/wp-content/uploads/2022/10/MP3-TABAL-Rainy-Days.zip
Eugenio Izzi,Reflections in the moonlight,https://lofigirl.com/wp-content/uploads/2022/11/Reflections-in-the-moonlight.zip
Phlocalyst/Drxnk,Relatives,https://lofigirl.com/wp-content/uploads/2022/11/Relatives.zip
Pandrezz,Relief,https://lofigirl.com/wp-content/uploads/2022/10/Relief.zip
Lofi Records,Restful Holidays,https://lofigirl.com/wp-content/uploads/2023/09/summer-compilation.zip
trxxshed,Retro Colors,https://lofigirl.com/wp-content/uploads/2022/11/Retro-Colors.zip
Living Room,Rituals,https://lofigirl.com/wp-content/uploads/2022/11/Rituals.zip
TyLuv,River Glow,https://lofigirl.com/wp-content/uploads/2022/11/River-Glow.zip
TABAL,Riverside Sunset,https://lofigirl.com/wp-content/uploads/2022/11/TABAL-Riverside-Sunset.zip
Chris Mazuera/SLo Loris,Riverside,https://lofigirl.com/wp-content/uploads/2022/10/Riverside.zip
Phlocalyst/Drxnk  Mr. Käfer,Roadwalks,https://lofigirl.com/wp-content/uploads/2022/10/Phlocalyst-x-Mr.-Kafer-Roadwalks-.zip
Osaki,Rooftop Memories,https://lofigirl.com/wp-content/uploads/2022/10/Osaki-Rooftop-Memories.zip
kanisan,Rüya,https://lofigirl.com/wp-content/uploads/2022/10/Ruya.zip
eleven,Samsara,https://lofigirl.com/wp-content/uploads/2023/01/Samsara.zip
Drkmnd Production,Satellite Nights,https://lofigirl.com/wp-content/uploads/2022/10/Satellite-Nights.zip
Lawrence Walther  Tibeauthetraveler,Scenery,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Tibeauthetraveler-x-lawrence-Scenery.zip
Kinissue,Sea Beams,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Kinissue-Sea-Beams.zip
Ambulo,Sea Forest,https://lofigirl.com/wp-content/uploads/2022/11/Ambulo-Sea-Forest.zip
Softy  Wishes and Dreams(Orca),Secrets of Castle,https://lofigirl.com/wp-content/uploads/2023/01/Secret-of-Castle.zip
Ky Akasha,Seeing Beauty in Everything,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Ky-akasha-Seeing-Beauty-in-Everything.zip
Loafy Building,Shelter,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Loafy-Building-Shelter.zip
Softy  Kaspa.,Shifting Past,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Kaspa.-x-Softy-Shifting-Past.zip
Softy  Pointy features  kanisan,Shine On,https://lofigirl.com/wp-content/uploads/2022/11/Shine-On.zip
Dimension32,Silent Emotions,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Dimension-32-Silent-Emotions.zip
Mila Coolness,Silent River,https://lofigirl.com/wp-content/uploads/2022/10/Silent-River.zip
iamalex  Felty,Silk,https://lofigirl.com/wp-content/uploads/2022/11/MP3-iamalex-x-Felty-Silk.zip
Late Era/Oatmello,Simple Things,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Oatmello-Simple-Things.zip
Sebastian Kamae / Intoku,Skylines,https://lofigirl.com/wp-content/uploads/2022/12/Skylines.zip
Aso/goodnyght,Sleep Cycles EP,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Aso-Sleep-Cycles-EP.zip
Tenno,Sleeping Soul,https://lofigirl.com/wp-content/uploads/2024/01/Sleeping-Soul.zip
Lofi Records,Sleepless Night,https://lofigirl.com/wp-content/uploads/2022/11/Sleepless-Night.zip
LESKY,Sleepovers,https://lofigirl.com/wp-content/uploads/2022/11/MP3-LESKY-Sleepovers.zip
xander,Sleepwalking,https://lofigirl.com/wp-content/uploads/2023/07/Sleepwalking.zip
towerz,Solemn,https://lofigirl.com/wp-content/uploads/2022/11/Towerz-Solemn.zip
cxlt.  amies,Solitude,https://lofigirl.com/wp-content/uploads/2022/10/Solitude.zip
Softy,Sometimes I Wait for You,https://lofigirl.com/wp-content/uploads/2022/10/Sometimes-I-Wait-For-You.zip
cxlt.,Somewhere In Time,https://lofigirl.com/wp-content/uploads/2022/11/Somewhere-in-Time.zip
Kupla,Somewhere. Nowhere.,https://lofigirl.com/wp-content/uploads/2023/11/Somewhere.-Nowhere.zip
Raimu,Sons of the Dew,https://lofigirl.com/wp-content/uploads/2022/11/Sons-of-the-Dew.zip
Lofi Records,Soothing Breeze,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Compilation-7-Soothing-Breeze.zip
spencer hunt,Sound Asleep,https://lofigirl.com/wp-content/uploads/2022/10/Sound-asleep.zip
WYS,South Pole,https://lofigirl.com/wp-content/uploads/2023/01/South-Pole.zip
tender spring,"Springtime, with friends",https://lofigirl.com/wp-content/uploads/2022/11/MP3-Tender-Spring-Springtime-with-friends.zip
fourwalls,Staring Contest,https://lofigirl.com/wp-content/uploads/2022/11/Staring-Contest.zip
kudo,Staring Through,https://lofigirl.com/wp-content/uploads/2022/10/Staring-Through.zip
xander  Tonion,Stories of Synergy,https://lofigirl.com/wp-content/uploads/2022/11/Tonion-x-xander.-stories-of-synergy.zip
Laffey,Summer Nights,https://lofigirl.com/wp-content/uploads/2022/10/Summer-Nights.zip
hi jude,Sun Swells,https://lofigirl.com/wp-content/uploads/2022/10/MP3-hi-jude-Sun-Swells.zip
Sinnr,Sunday Morning,https://lofigirl.com/wp-content/uploads/2022/11/sinnr-Sunday-Morning.zip
No spirit  Wishes and Dreams(Orca),Sunny Hill,https://lofigirl.com/wp-content/uploads/2023/01/Sunny-Hill.zip
Purrple Cat,Sweet Dreams,https://lofigirl.com/wp-content/uploads/2022/10/Sweet-Dreams.zip
Krynoze,Take A Paws,https://lofigirl.com/wp-content/uploads/2023/09/Take-a-Paws.zip
Nadav Cohen,Tales from Babylon,https://lofigirl.com/wp-content/uploads/2022/12/Tales-from-Babylon.zip
hevi,talking to myself,https://lofigirl.com/wp-content/uploads/2022/11/Hevi-Talking-to-myself.zip
BVG,Temple Garden,https://lofigirl.com/wp-content/uploads/2022/11/Temple-Garden.zip
Hoffybeats  Lenny Loops,Tender Memories,https://lofigirl.com/wp-content/uploads/2022/11/Tender-Memories.zip
Mondo Loops,Terrapin,https://lofigirl.com/wp-content/uploads/2022/10/Terrapin.zip
Another Silent Weekend  blurred figures,the art of noticing 🏨,https://lofigirl.com/wp-content/uploads/2024/01/the-art-of-noticing.zip
WYS,The Bad Party,https://lofigirl.com/wp-content/uploads/2022/11/MP3-WYS-The-Bad-Party.zip
Softy  no one's perfect,The Beauty Around Us,https://lofigirl.com/wp-content/uploads/2022/10/The-Beatuty-Around-Us.zip
Pierson Booth,The Beginning,https://lofigirl.com/wp-content/uploads/2023/09/The-Beginning.zip
Softy,The Breeze,https://lofigirl.com/wp-content/uploads/2022/11/softy-The-Breeze.zip
Softy,The Day I Passed,https://lofigirl.com/wp-content/uploads/2022/11/Softy-The-Day-I-Passed.zip
DaniSogen,The Gate to Serenity,https://lofigirl.com/wp-content/uploads/2022/10/DaniSogen-The-Gate-to-Serenity.zip
Tenno,The Inner Light,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Tenno-The-Inner-Light.zip
Virtua,The Last Descent ☄️,https://lofigirl.com/wp-content/uploads/2024/01/The-Last-Descent.zip
Dimension32,The Legend of Orpheus,https://lofigirl.com/wp-content/uploads/2023/09/The-Legend-of-Orpheus.zip
DaniSogen,The Magic Unfolds,https://lofigirl.com/wp-content/uploads/2022/11/DaniSogen-The-Magic-Unfolds.zip
Charlee,The meaning of love,https://lofigirl.com/wp-content/uploads/2023/05/The-meaning-of-love.zip
Alto  Two Scents  Lenny Loops,The Ocean,https://lofigirl.com/wp-content/uploads/2023/11/The-Ocean.zip
Solar Body,The Otherworld🌲,https://lofigirl.com/wp-content/uploads/2024/01/The-Otherworld.zip
Tenno,The Prophecy,https://lofigirl.com/wp-content/uploads/2022/10/The-Prophecy.zip
C4C,The Pursuit of Simplicity EP,https://lofigirl.com/wp-content/uploads/2022/11/The-pursuit-of-Simplicity.zip
Kinissue,The Realization,https://lofigirl.com/wp-content/uploads/2023/09/The-Realization.zip
Allem Iversom/Harris Cole,The Ridge,https://lofigirl.com/wp-content/uploads/2022/10/The-Ridge.zip
towerz  hi jude,The Shallows,https://lofigirl.com/wp-content/uploads/2022/11/MP3-hi-jude-x-towerz-the-shallows.zip
Raimu,The Spirit Within,https://lofigirl.com/wp-content/uploads/2022/10/Raimu-The-Spirit-Within.zip
Kaspa.,The Story,https://lofigirl.com/wp-content/uploads/2022/11/The-Story.zip
Cosmic Koala  Lucid Keys,The Tale Of The Druids,https://lofigirl.com/wp-content/uploads/2023/01/The-Tale-Of-The-Druids.zip
WYS  Sweet Medicine,The Way Back,https://lofigirl.com/wp-content/uploads/2022/11/MP3-WYS-x-Sweet-Medicine-The-Way-Back.zip
kokoro,The Way Home,https://lofigirl.com/wp-content/uploads/2022/10/Kokoro-The-Way-Home.zip
Hoogway,Thin Lines,https://lofigirl.com/wp-content/uploads/2022/10/Thin-Lines.zip
mell-ø,thinking about you,https://lofigirl.com/wp-content/uploads/2022/10/mell-o-thinking-about-you.zip
Team Astro,Three of Us,https://lofigirl.com/wp-content/uploads/2022/11/Team-Astro-Three-of-Us.zip
DLJ/Blumen,Time Capsule,https://lofigirl.com/wp-content/uploads/2022/11/MP3-DLJ-Time-Capsule.zip
dontcry  nokiaa,Time In Motion,https://lofigirl.com/wp-content/uploads/2022/11/Time-in-Motion.zip
chief.,Time Remembered,https://lofigirl.com/wp-content/uploads/2022/10/Time-Remembered.zip
mell-ø,Time To Go,https://lofigirl.com/wp-content/uploads/2022/11/MP3-mell-o-Time-To-Go.zip
Chau Sara,Time Travel,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Chau-Sara-Time-Travel.zip
xander,Timeless Melodies 🍄,https://lofigirl.com/wp-content/uploads/2024/01/Timeless-Melodies.zip
dontcry  Bcalm,times we had,https://lofigirl.com/wp-content/uploads/2023/07/times-we-had.zip
Prithvi,Timescapes : Longer Nights,https://lofigirl.com/wp-content/uploads/2022/11/Prithvi-Timescapes.Longer-Nights.zip
jisatsu  Nadav Cohen,To the moon and back,https://lofigirl.com/wp-content/uploads/2022/10/aMess-x-jisatsu-To-the-moon-and-back-.zip
Sweet Medicine  Krynoze,Tomorrow Comes,https://lofigirl.com/wp-content/uploads/2022/11/Krynoze-x-Sweet-Medicine-Tomorrow-Comes.zip
,Tomorrows That Follow,https://lofigirl.com/wp-content/uploads/2022/10/Tomorrows-That-Follow.zip
G Mills,Tranquility,https://lofigirl.com/wp-content/uploads/2022/10/Tranquility.zip
Squeeda,Transform,https://lofigirl.com/wp-content/uploads/2023/02/Transform.zip
Tibeauthetraveler,Travel Buddies,https://lofigirl.com/wp-content/uploads/2022/11/Tibeauthetraveler-Travel-Buddies.zip
Team Astro,Travelers,https://lofigirl.com/wp-content/uploads/2022/11/Travelers.zip
Sleepermane  Casiio,Underneath,https://lofigirl.com/wp-content/uploads/2022/10/Underneath.zip
Sleepermane  Casiio,Unexplored,https://lofigirl.com/wp-content/uploads/2022/10/Casiio-x-Sleepermane-Unexplored.zip
Sleepermane,Unfolding,https://lofigirl.com/wp-content/uploads/2022/11/Sleepermane-Unfloding.zip
Yasumu/Plant Guy,Unravel,https://lofigirl.com/wp-content/uploads/2022/12/Unravel.zip
Yasumu/Plant Guy,Until Forever,https://lofigirl.com/wp-content/uploads/2022/10/Until-Forever.zip
towerz,Until Tomorrow,https://lofigirl.com/wp-content/uploads/2022/10/Until-Tomorrow.zip
kyu,Until we meet again,https://lofigirl.com/wp-content/uploads/2022/10/Kayou.-Until-we-meet-again-.zip
Elijah Lee,Vanishing Journey,https://lofigirl.com/wp-content/uploads/2022/11/Vanishing-Journey.zip
Khutko,Violet,https://lofigirl.com/wp-content/uploads/2022/11/Violet.zip
Sebastian Kamae / Intoku  Elior/Aylior/Epona,Vondelpark,https://lofigirl.com/wp-content/uploads/2022/10/Vondelpark.zip
Elior/Aylior/Epona,Walls,https://lofigirl.com/wp-content/uploads/2022/10/Walls.zip
Yasumu/Plant Guy,Way of Life,https://lofigirl.com/wp-content/uploads/2022/10/Way-of-Life.zip
Sleepermane  Sling Dilly,Weightless,https://lofigirl.com/wp-content/uploads/2022/11/Sling-Dilly-x-Sleepermane-Weightless.zip
lilac,When I Dreamt of You,https://lofigirl.com/wp-content/uploads/2022/11/When-I-dreamt-of-You.zip
hevi,When I’m Gone,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Hevi-When-im-Gone.zip
Tesk / Nvmb.,Wilderness,https://lofigirl.com/wp-content/uploads/2022/11/Wilderness.zip
L'Outlander,Willpower,https://lofigirl.com/wp-content/uploads/2022/11/LOutlander-Willpower.zip
takeo (aka Tysu)  spencer hunt,Window Seat,https://lofigirl.com/wp-content/uploads/2022/10/Window-Seat.zip
spencer hunt,Windy City,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Spencer-Hunt-Windy-City.zip
hevi  H.1,Winter Getaway,https://lofigirl.com/wp-content/uploads/2023/01/Winter-Getaway.zip
Dr dundiff,Winter Love,https://lofigirl.com/wp-content/uploads/2022/11/Winter-Love.zip
Casiio,Wondering,https://lofigirl.com/wp-content/uploads/2022/11/Wondering.zip
Sitting Duck,Wonderland Chapter 1,https://lofigirl.com/wp-content/uploads/2022/10/Wonderland-Chapter-1.zip
Sitting Duck,Wonderland Chapter II,https://lofigirl.com/wp-content/uploads/2022/11/Wonderland-Chapter-II.zip
Flitz&Suppe  Mr. Käfer,Yōkai,https://lofigirl.com/wp-content/uploads/2022/10/Yokai.zip
cxlt.,Your Light,https://lofigirl.com/wp-content/uploads/2022/10/cxlt.-Your-Light-.zip
Sebastian Kamae / Intoku  Elior/Aylior/Epona,Zero,https://lofigirl.com/wp-content/uploads/2022/10/Zero.zip
